"Hello there, the angel from a nightmare, the shadow in the background of the morgue, the",0.0,23.36
"unsuspected victim of darkness in the valley, we can live like Jack and Sally if we want,",23.36,33.76
"where you can always find me, and we'll have Halloween on Christmas and in the night we'll",33.76,42.08
"wish this never ends, we'll wish this never ends.",42.08,46.239999999999995
"I miss you, miss you.",54.24,58.24
"Where are you? And I'm so sorry. I cannot sleep, I cannot dream tonight. I need somebody and always.",66.24,78.24
This sick strange darkness comes creeping on so haunting every time and as I stared I canted.,79.19999999999999,88.64
The webs from all the spiders catching things and eating their insides like indecision to call you.,90.32,99.19999999999999
"And hear your voice of treason, will you come home and stop this pain tonight?",100.96,106.72
Stop this pain tonight.,107.67999999999999,110.0
"Stop this pain and don't waste your time on me, you're already the voice inside my head.",116.72,127.92
"Don't waste your time on me, you're already the voice inside my head.",127.92,147.12
"And don't waste your time on me, you're already the voice inside my head.",157.92,165.11999999999998
"And don't waste your time on me, you're already the voice inside my head.",167.11999999999998,175.11999999999998
"Don't waste your time on me, you're already the voice inside my head.",175.12,203.12
"I miss you, miss you.",205.12,225.12
"I miss you, miss you.",225.12,234.12
"I miss you, miss you.",234.12,237.12
