start	end	text
1080	1100	Nossa,
1540	2600	nossa,
2820	3540	assim
3540	4200	você
4200	4540	me
4540	5040	mata
6140	6400	Ai,
6440	6700	se
6700	6880	eu
6880	7020	te
7020	7740	pego,
7820	8240	ai,
8320	8820	ai,
8960	9200	se
9200	9380	eu
9380	9540	te
9540	10120	pego,
10160	10350	ai
10350	11400	Delícia,
11540	12740	delícia,
12840	13540	assim
13540	14160	você
14160	14480	me
14480	15000	mata
16080	16400	Ai,
16460	16680	se
16680	16860	eu
16860	17040	te
17040	17720	pego,
17760	18180	ai,
18280	18820	ai,
19120	19280	se
19280	19500	eu
19500	19640	te
19640	20320	pego,
20420	20470	hein
20470	21680	Um
30920	31500	sábado
31500	32340	na
32340	33780	balada
34260	35830	A
36300	36820	galera
36820	37420	começou
37420	37980	a
37980	38620	dançar
41220	41300	E
41300	41720	passou
41720	41980	a
41980	42720	menina
42720	42980	mais
42980	43920	linda
45560	45900	Tomei
45900	46420	coragem
46420	46880	e
46880	47640	comecei
47640	47720	a
47720	48200	falar
50920	50940	Nossa,
51580	52620	nossa,
52840	53520	assim
53520	54160	você
54160	54500	me
54500	54940	mata
56100	56140	Ai,
56400	56660	se
56660	56820	eu
56820	56980	te
56980	57720	pego,
57780	58160	ai,
58300	58800	ai,
59000	59160	se
59160	59340	eu
59340	59480	te
59480	60260	pego
60260	61420	Delícia,
61520	62700	delícia,
62780	63460	assim
63460	64000	você
64000	64260	me
64260	64280	mata
64280	66140	Ai,
66400	66660	se
66660	66840	eu
66840	67000	te
67000	67720	pego,
67780	68080	ai,
68400	68760	ai,
69040	69180	se
69180	69340	eu
69340	69520	te
69520	70220	pego,
70260	70580	hein
70580	71300	Um
71300	72080	sábado
81460	82300	na
82300	83840	balada
86180	86200	A
86200	86540	galera
86540	87480	começou
87480	87900	a
87900	88640	dançar
91160	91260	E
91260	91740	passou
91740	91960	a
91960	92720	menina
92720	93100	mais
93100	93940	linda
95580	95880	Tomei
95880	96440	coragem
96440	96640	e
96640	97660	comecei
97660	97700	a
97700	98100	falar
98140	100530	Nossa,
101600	102360	nossa,
102840	103120	assim
103120	103140	você
103140	103160	me
103160	103180	mata
103180	106060	Ai,
106420	106660	se
106660	106840	eu
106840	106980	te
106980	107740	pego,
107780	108060	ai,
108320	108700	ai,
109120	109180	se
109180	109360	eu
109360	109520	te
109520	110220	pego,
110300	110390	ai
110390	111400	Delícia,
111520	112680	delícia,
112780	113420	assim
113420	113940	você
113940	114520	me
114520	115000	mata
115200	116180	Ai,
116440	116680	se
116680	116840	eu
116840	117000	te
117000	117720	pego,
117760	118060	ai,
118300	118680	ai,
119000	119220	se
119220	119400	eu
119400	119560	te
119560	120260	pego,
120340	120500	hein
128670	128690	Eu
128690	128910	quero
128910	129130	ouvir
129130	129230	só
129230	129530	vocês
129530	129910	agora
130890	131270	Nossa,
131590	132400	ai,
136470	136670	se
136670	136870	eu
136870	137050	te
137050	137680	pego
140110	141440	Delícia,
141580	142720	delícia,
142820	143500	assim
143500	144020	você
144020	144500	me
144500	144860	mata
145100	146100	Ai,
146380	146660	se
146660	146840	eu
146840	147000	te
147000	147660	pego,
147760	148040	ai,
148240	148640	ai,
148940	149200	se
149200	149400	eu
149400	149540	te
149540	150240	pego,
150340	150480	hein
157550	157570	Que
157570	158210	delícia,
158210	158510	hein
159370	159550	Ai,
159610	159790	se
159790	159870	eu
159870	160010	te
160010	160550	pego
