start	end	text
15090	15390	Pretty
15390	15870	girls
15870	16490	like
16490	17070	Samuel
18110	18350	Can't
22580	23140	share
23680	23990	And
28320	28420	he
28420	28920	can't
28920	29780	handle
32930	32990	Life
32990	33910	is
33910	34470	anything
34470	35130	but
35130	35610	fair
36270	36530	Life
36530	36910	is
36910	37470	anything
37470	38330	but
38330	38810	fair
39470	39830	Oh,
39870	40450	oh,
40590	41130	oh,
41370	41790	oh
45710	45830	Oh,
46110	46710	oh,
46950	47490	oh,
47570	47970	oh
52120	52320	Just
52320	52580	as
52580	52980	soon
52980	53460	as
53460	53620	they
53620	54020	turn
54020	54680	older
55880	56020	Come
58710	58890	and
58890	59310	sweep
59310	59730	them
59730	60010	off
60010	60330	their
60330	60870	feet
65010	65130	Only
65130	65730	making
65730	66310	me
66310	66730	feel
66730	67330	smaller
70790	71180	Oh
71180	71760	So
75560	76100	won't
76100	76260	you
76260	76520	lay
76520	77180	me
77300	77430	Won't
79320	79480	you
79480	79920	lay
79920	80530	me
80700	81440	down
81500	82400	Won't
82400	82600	you
82600	82840	lay
82840	83460	me
85020	85560	Won't
85560	85760	you
85760	85980	lay
85980	86960	me
86960	87820	down
88320	88560	Won't
88560	88960	you
88960	89120	lay
89120	89780	me
93290	93990	down
101950	102580	Makes
140840	141040	me
141040	141460	tell
141460	141780	my
141780	142360	foolish
142360	142870	friend
143660	143820	Long
143820	144340	before
144340	144940	I
144940	145320	see
145320	145740	the
145740	146200	light
160990	161210	Sail
161210	161530	on
161530	161770	by
178510	178670	But
178670	178830	I
178830	179310	just
179310	179900	can't
179900	180310	Getting
180310	180650	home
180930	181230	Won't
183270	183510	you
183510	183910	lay
183910	184550	me
186300	186480	Won't
186480	186940	you
186940	187160	lay
187160	187980	me
187980	188580	down
189600	189760	Won't
189760	190040	you
190040	190420	lay
190420	191040	me
192720	192980	Won't
192980	193260	you
193260	193600	lay
193600	194500	me
194500	195080	down
195320	196260	Won't
196260	196660	you
196660	197080	lay
197080	197560	me
199100	199440	Won't
199440	199900	you
199900	200320	lay
200320	200920	me
200920	201780	down
202300	202840	Won't
202840	203000	you
203000	203360	lay
203360	204000	me
205640	205940	Won't
205940	206200	you
206200	206760	lay
206760	207410	me
226580	227240	down
