4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,25,29.88,30.34
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,years,30.34,30.82
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,and,30.82,31.16
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,my,31.16,31.34
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,life,31.34,31.56
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,is,31.56,31.88
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,still,31.88,32.36
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,trying,32.36,33.44
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,to,33.44,33.78
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,get,33.78,34.02
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,up,34.02,34.16
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,that,34.16,34.62
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,great,34.62,35.14
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,big,35.14,35.5
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,healer,35.5,36.34
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,of,36.34,36.58
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,hope,36.58,37.0
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,for,38.54,39.25
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,a,39.25,39.47
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,destination.,39.47,40.23
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,43.7,43.88
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,realized,43.88,44.28
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,quickly,44.28,45.06
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,when,45.06,45.54
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,45.54,45.72
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,knew,45.72,45.96
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,45.96,46.26
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,should,46.26,46.68
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,that,46.68,47.08
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,the,47.08,47.3
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,world,47.3,47.66
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,was,47.66,48.06
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,made,48.06,48.42
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,up,48.42,48.68
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,of,48.68,48.88
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,this,48.88,49.18
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,brotherhood,49.18,50.28
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,of,50.28,50.76
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,man,50.76,51.3
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,for,52.88,53.54
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,whatever,53.54,54.0
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,that,54.0,54.44
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,means.,54.44,54.86
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,In,57.61,57.81
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,Sui,57.81,58.21
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,Christ,58.21,58.57
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,sometimes,58.57,59.45
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,when,59.45,59.85
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I'm,59.85,60.11
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,lying,60.11,60.41
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,in,60.41,60.73
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,bed,60.73,61.07
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,just,61.07,61.41
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,to,61.41,61.69
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,get,61.69,62.07
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,it,62.07,62.35
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,all,62.35,62.61
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,out,62.61,62.89
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,what's,62.89,63.59
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,in,63.59,63.79
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,my,63.79,64.25
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,head,64.25,64.73
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,and,64.83,65.07
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,"I,",65.07,65.37
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,65.82,66.26
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,didn't,66.26,66.48
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,feel,66.48,66.64
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,"any,",66.64,66.94
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,a,67.66,68.12
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,little,68.12,68.46
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,peculiar.,68.46,69.36
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,In,71.89,72.11
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,Sui,72.11,72.59
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,wake,72.59,72.85
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,in,72.85,73.29
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,the,73.29,73.47
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,morning,73.47,73.85
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,and,73.85,74.23
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,74.23,74.37
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,step,74.37,74.61
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,outside,74.61,75.27
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,and,75.27,75.79
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,75.79,76.07
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,take,76.07,76.43
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,a,76.43,76.67
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,deep,76.67,76.91
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,breath,76.91,77.25
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,and,77.25,77.63
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,I,77.63,77.79
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,get,77.79,78.11
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,real,78.11,78.53
4-Non-Blondes---Whats-Up_large-v2,whisper_timestamped,high,78.83,79.13
