start	end	text
0	5500	Dê-me um! Nossa, nossa, assim você me mata!
6260	10440	Ai, se eu te pego, ai, ai, se eu te pego, vai!
10780	15540	Delicia, delicia, assim você me mata!
16240	20860	Ai, se eu te pego, ai, ai, se eu te pego, hein!
30940	34260	Um saudado na balada!
36360	44780	A galera começou a dança, e passou a menina mais linda!
45220	49600	Tomei coragem e comecei a falar!
50060	50760	Como é que é? Vai!
51160	60420	Nossa, nossa, assim você me mata! Ai, se eu te pego, ai, ai, se eu te pego,
60620	70740	Delicia, delicia, assim você me mata! Ai, se eu te pego, ai, ai, se eu te pego, hein!
70740	71180	Vai!
80780	85000	Um saudado na balada!
86260	94460	A galera começou a dança, e passou a menina mais linda!
95700	99640	Tomei coragem e comecei a falar!
101300	110440	Nossa, nossa, assim você me mata! Ai, se eu te pego, ai, ai, se eu te pego,
111100	120620	Delicia, delicia, assim você me mata! Ai, se eu te pego, ai, ai, se eu te pego, hein!
128830	130010	Eu quero ver só vocês agora!
131310	145380	Nossa, ai, se eu te pego, ai, delicia, delicia, assim você me mata!
146220	150740	Ai, se eu te pego, ai, ai, se eu te pego, hein!
157530	160730	Que delicia, hein! Ai, se eu te pego!
