Preguntaba,1.71,1.99
una,2.03,2.111
damita,2.171,2.491
que,2.731,2.831
si,2.911,2.991
cuándo,3.151,3.472
fue,3.612,3.832
la,4.453,4.513
"fecha,",4.633,4.893
una,4.913,4.973
damita,5.193,5.474
del,5.494,5.614
"auditorio,",5.634,6.114
cuando,6.515,6.735
ocurrió,6.795,7.315
el,7.696,7.776
último,7.936,8.396
eclipse,9.257,9.838
solar.,10.218,10.558
Yo,10.658,10.779
le,11.119,11.239
dije,11.359,11.579
que,11.659,11.76
el,12.04,12.18
de,12.22,12.3
febrero,12.36,12.74
de,12.82,12.921
Bienvenidos,34.073,34.453
a,34.513,34.713
la,34.753,34.993
"salvación,",35.013,35.753
mi,35.894,36.034
tequila,36.054,36.774
es,36.874,37.014
mi,37.094,37.194
compañero,37.334,37.994
por,38.014,38.154
esta,38.174,38.354
noche,38.394,38.914
de,38.974,39.474
oblivión.,40.155,40.715
Ves,40.735,41.015
a,41.095,41.155
todo,41.275,41.795
el,41.875,42.975
mundo,43.015,43.436
alrededor,43.576,43.876
de,43.896,43.956
"mí,",43.976,44.016
que,44.036,44.156
me,44.196,44.256
"aburre,",44.276,44.716
me,44.736,44.896
hace,44.936,45.316
solitario,45.336,46.016
con,46.056,46.276
nuestros,46.336,46.576
amigos.,46.616,46.876
"¡Oh,",47.116,47.457
nunca,47.477,47.717
lo,47.737,47.817
he,47.857,47.957
tenido!,47.997,49.557
¡Oh!,49.637,49.997
¡Bacán,50.017,50.757
a,50.837,50.897
la,52.418,52.478
"Mustang,",52.498,52.778
porque,52.798,53.118
esta,53.178,53.398
ciudad,53.418,53.818
no,53.838,53.938
tiene,53.978,54.358
corazón!,54.418,54.678
¡Te,54.718,54.939
engañan!,55.059,55.639
¡Y,55.659,55.679
te,55.719,55.799
expulsan!,55.879,56.859
Patientemente,61.827,63.167
buscando,63.227,63.567
un,63.667,63.767
destino,63.788,64.188
"desconocido,",64.248,64.768
yo,64.788,64.888
sigo,64.908,65.088
el,65.128,65.208
camino,65.248,65.808
hacia,65.948,66.188
México.,66.248,66.808
Lo,66.828,67.108
"siento,",67.809,68.229
