When,18.893,19.113
you,19.133,19.253
were,19.273,19.454
here,19.474,19.614
before,19.634,20.455
Couldn't,23.738,23.998
look,24.058,24.338
you,24.378,24.579
in,24.639,24.739
the,24.759,24.859
eye,25.199,25.64
You're,28.963,29.143
just,29.183,29.463
like,29.544,29.844
an,29.964,30.204
angel,30.545,31.085
Your,34.017,34.197
skin,34.217,34.598
makes,34.638,34.938
me,34.998,36.139
cry,36.159,36.219
You,39.122,39.262
float,39.362,39.683
like,39.763,40.083
a,40.103,40.123
feather,40.363,42.325
In,44.347,44.467
a,44.487,44.527
beautiful,44.567,45.148
world,45.328,46.489
I,49.783,49.863
wish,49.883,50.144
I,50.324,50.344
was,50.364,50.565
special,50.645,52.167
You're,54.652,54.852
so,54.972,55.273
fucking,55.333,55.874
special,55.934,57.957
But,60.121,60.281
I'm,60.402,60.582
a,60.842,61.023
creep,61.103,61.483
I'm,65.668,65.828
a,66.089,66.489
widow.,66.549,68.691
What,70.112,70.332
the,70.372,70.533
hell,70.573,70.973
am,70.993,71.093
I,71.133,71.293
doing,71.333,73.375
here?,73.395,73.495
I,76.177,76.278
don't,76.318,76.558
belong,76.618,77.499
here.,77.579,78.319
I,81.047,81.187
don't,81.207,81.428
care,81.508,81.868
if,81.888,81.928
it,82.008,82.129
hurts,82.209,83.37
I,86.254,86.334
wanna,86.354,86.694
have,86.734,86.935
control,86.995,87.976
I,87.996,88.016
want,91.641,91.841
a,91.861,91.921
perfect,91.981,92.502
body,92.602,93.583
I,96.731,96.791
want,96.811,97.091
a,97.111,97.131
perfect,97.191,97.691
soul,97.792,99.712
I,101.933,102.013
want,102.053,102.374
you,102.434,102.734
to,102.754,102.794
notice,103.054,105.195
When,107.176,107.396
I'm,107.496,107.676
not,107.736,108.116
around,108.196,109.057
So,112.554,112.855
fucking,112.915,113.495
special,113.515,115.217
I,117.72,117.9
wish,117.92,118.2
I,118.44,118.46
was,118.541,118.641
special,118.721,120.923
But,122.885,123.085
I'm,123.225,123.426
a,123.666,123.826
creep,123.946,124.347
I'm,128.541,128.722
a,129.082,129.322
widow,129.342,131.925
What,133.167,133.367
the,133.407,133.567
hell,133.607,133.968
am,134.128,134.588
I,134.668,136.33
doing,136.35,136.451
here?,136.471,136.551
I,139.174,139.274
don't,139.314,139.594
belong,139.654,140.475
here,140.595,141.156
"Oh,",143.169,143.37
"oh,",144.211,144.251
"oh,",144.392,144.452
"oh,",144.512,144.712
"oh,",144.732,145.674
"oh,",147.077,147.458
"oh,",148.019,148.339
"oh,",148.52,148.981
"oh,",149.221,149.442
"oh,",150.183,150.344
"oh,",150.484,150.664
oh.,151.245,151.646
She's,155.785,157.688
leading,158.309,160.151
to,160.732,161.393
a,161.573,161.693
broken,162.174,164.016
heart,164.096,164.717
"Oh,",167.903,167.943
Whatever,185.217,185.577
makes,185.637,185.958
you,185.998,186.178
happy,186.298,187.339
Whatever,190.483,190.884
you,190.944,191.424
want,191.544,192.065
You're,195.369,195.569
so,195.629,195.93
fucking,195.99,196.55
special,196.61,197.551
I,200.575,200.695
wish,200.735,201.056
I,201.256,201.376
was,201.416,201.577
special,201.617,202.958
But,205.762,205.943
I'm,206.123,206.303
a,206.563,206.603
creep,206.784,207.224
I'm,211.363,211.503
a,211.584,212.064
winner,212.104,214.066
What,215.968,216.168
the,216.209,216.449
hell,216.489,216.609
am,216.689,216.769
I,216.909,217.009
doing,217.069,217.45
here?,217.53,218.391
I,221.875,221.975
don't,222.015,222.275
belong,222.315,223.196
here,223.296,223.917
I,227.092,227.172
don't,227.232,227.492
belong,227.613,228.595
here.,228.775,229.016
