lyric_word,time,ref_word,start,end
I,5.83,I,5.68,5.84
bad,7.19,bad,6.86,7.44
moon,7.85,moon,7.44,7.92
rising,8.53,"rising,",7.92,8.48
I,11.17,,,
trouble,12.51,,,
on,13.18,on,12.45,13.13
way,13.86,"way,",13.51,13.97
I,16.51,,,
earthquakes,17.85,,,
 and,18.52,and,18.04,18.8
lightning,19.19,lightning.,18.8,19.24
I,21.86,I,21.75,21.87
bad,23.18,bad,22.37,23.15
times ,23.85,times,23.15,24.01
today ,24.51,"today,",24.01,24.47
dont,27.15,,,
bound,29.81,,,
Theres,32.49,There's,32.38,33.42
bad ,33.82,bad,33.48,33.8
rise ,35.16,"rise,",34.8,35.2
I,37.81,,,
hurricanes,39.15,hurricanes,38.35,39.45
blowing,40.49,a-flowing.,39.45,40.57
I,43.16,,,
end,44.5,end,44.11,44.57
 coming,45.16,coming,44.83,45.29
soon,45.84,"soon,",45.29,45.85
I,48.5,,,
 rivers,49.84,rivers,49.1,49.8
over,50.51,,,
flowing,51.19,overflowing.,49.8,51.26
I,53.84,I,53.65,53.85
voice ,55.18,voice,54.75,55.21
rage ,55.86,rage,55.45,55.87
ruin ,56.53,"ruin,",56.19,56.71
dont,59.19,,,
bound,61.88,,,
Theres,64.54,There's,64.24,65.42
bad ,65.89,bad,65.52,65.86
rise ,67.22,rise.,66.88,67.36
Hope,91.19,Hope,91.05,91.2
got,92.53,got,91.66,92.46
things,93.2,things,92.74,93.32
together,93.89,together.,93.32,93.72
Hope,96.54,Hope,96.34,96.6
 quite,97.88,quite,97.88,98.0
prepared ,98.55,prepared,98.0,98.54
die,99.22,,,
looks,101.89,Looks,101.65,101.95
in,103.22,in,103.17,103.35
nasty,103.89,nasty,103.51,104.01
weather,104.59,weather.,104.01,104.61
one,107.23,One,107.1,107.24
 taken,108.59,taken,108.34,108.7
for,109.25,for,108.7,109.1
eye,109.94,eye.,109.6,109.94
dont,112.6,don't,112.11,112.83
bound,115.27,,,
Theres,117.95,There's,118.03,118.69
bad ,119.3,bad,118.91,119.25
rise ,120.65,rise.,120.23,120.67
dont,123.3,,,
its,125.99,,,
life ,128.66,,,
bad,130.01,bad,129.62,129.86
rise,131.36,rise.,130.96,131.34
