lyric_word,time,ref_word,start,end
I,5.19,I,4.62,5.32
 six-string,7.53,string.,7.68,7.7
 played,11.7,Played,12.04,12.22
 was,15.3,Was,14.6,15.06
 me,18.5,Me,18.3,18.96
 had,21.8,had,21.1,22.02
 Jimmy,25.3,Jimmy,25.32,25.58
 should,28.7,Should've,28.78,29.16
 oh,33.0,,,
look,33.53,look,33.36,33.68
 that,35.27,That,35.14,35.9
last,37.02,last,36.9,37.36
 and,39.47,And,39.14,39.78
had,40.47,had,40.5,40.92
 yeah,43.21,"yeah,",42.24,43.1
wanna,43.94,,,
 those,46.37,Those,46.0,46.68
best,47.4,best,47.5,47.64
life,49.12,life.,49.04,50.02
 complaining,58.76,complainin',58.29,60.19
 when,60.39,when,60.19,60.39
 spent,63.4,Spent,63.13,63.61
 and,67.7,,,
 standing,70.8,Standing,70.47,71.19
mamas,71.65,mama's,71.63,72.35
 you,73.9,You,73.61,73.96
wait,75.13,wait,75.52,75.54
 and,77.87,,,
held,78.6,,,
 I,80.77,,,
now,82.04,,,
 those,84.48,,,
best,85.53,,,
life,87.25,life.,87.21,87.28
yeah ,90.71,,,
sixty,94.18,,,
 man,102.06,,,
killing,102.81,,,
young,104.55,,,
needed,106.29,needed,106.16,106.66
 I,108.89,,,
nothing,109.76,,,
forever,111.49,,,
 and,129.5,,,
 look,132.7,Look,132.79,132.87
 sometimes,136.72,Sometimes,136.37,136.73
 think,140.18,thinking,139.75,139.91
 standing,143.31,Standing,143.23,143.87
mamas,144.36,mama's,144.35,145.49
 you,146.51,You,146.54,146.7
last,147.85,,,
 oh,150.44,,,
held,151.32,,,
 I,153.5,,,
now,154.77,,,
 those,156.99,the,156.91,157.57
best,158.25,best,157.57,158.45
life,159.95,life.,159.83,160.31
yeah ,163.41,,,
sixty,166.89,,,
sixty,173.8,,,
sixty,180.74,,,
