lyric_word,time,ref_word,start,end
sheets,24.45,Sheets,23.89,25.59
canvas,27.61,"canvas,",27.05,28.49
 sheets,30.74,sheets,31.05,31.49
 were,36.54,were,36.32,36.74
laid,37.02,laid,36.74,37.28
 me,40.24,me,40.16,41.52
her,43.37,,,
all,49.7,,,
horizons,52.9,horizons,52.13,53.57
around,56.03,around,55.69,56.77
 as,59.18,,,
now,62.32,Now,61.44,62.78
tasted,65.49,taste,65.04,65.68
 taken,68.63,taken,69.06,69.5
everything,81.2,,,
 that,92.98,,,
 hands,100.14,hands,100.21,101.07
the,103.29,the,103.13,103.53
everything,106.44,everything.,105.57,106.97
pictures,109.57,pictures,109.07,109.71
in,112.67,in,112.79,113.45
everything,115.79,everything.,115.25,115.51
 I,118.98,,,
walk,122.11,,,
surrounded,125.24,,,
play,128.34,,,
I,131.49,,,
laughter,134.68,"laughter,",134.39,135.43
why,137.78,why,137.65,138.71
head,150.3,,,
Im,156.5,,,
away,162.68,,,
bitter,168.54,,,
glass,172.06,glass,172.05,172.93
everything ,175.2,everything.,174.35,175.73
pictures ,178.29,pictures,177.73,178.15
in,181.36,in,181.47,181.49
everything ,184.51,everything.,184.59,185.17
 gone,187.57,gone,187.71,188.09
world ,190.65,world,190.15,190.93
 see,193.75,"see,",193.59,194.93
 am,196.84,,,
be,199.92,be.,199.81,199.83
