lyric_word,time,ref_word,start,end
 twentyfive,29.6,,,
trying,33.2,trying,32.76,33.64
hope ,36.81,hope,36.66,37.32
destination,40.39,destination.,39.59,41.11
realized,43.99,realized,43.92,44.56
world  ,47.58,world,47.32,47.8
man ,50.73,"man,",50.96,51.54
means ,54.77,means.,54.6,55.16
cry,58.33,,,
get,61.92,,,
 I,65.52,"I,",65.05,65.47
peculiar,69.13,peculiar.,68.58,69.54
wake,72.7,wake,72.59,73.07
take,76.27,take,76.03,76.59
scream,79.85,scream,79.69,81.35
on ,83.4,,,
hey,86.92,,,
hey,90.5,,,
hey ,94.05,,,
on ,97.61,,,
hey,101.12,,,
hey,104.69,,,
hey ,108.22,,,
on ,111.77,,,
try,143.89,,,
try,147.45,,,
time,151.02,,,
institution,154.6,,,
pray ,158.16,,,
pray ,161.75,,,
day,165.34,,,
revolution,168.92,,,
cry,172.45,cry,172.57,172.99
get,176.02,get,175.85,176.21
 I,179.56,,,
peculiar,183.08,peculiar.,183.45,183.63
wake,186.61,wake,186.59,186.95
take,190.15,take,189.83,190.39
scream,193.67,scream,193.58,194.78
on ,197.22,,,
hey,200.73,"hey,",200.59,201.23
hey,204.28,,,
hey ,207.81,hey.,207.75,208.33
on ,211.36,,,
hey,214.85,hey.,214.74,215.4
hey,218.37,,,
hey ,221.88,hey.,221.68,222.24
on ,225.4,,,
hey,228.94,hey.,228.79,229.53
hey,232.48,,,
hey ,235.99,hey.,235.87,236.53
on ,239.51,,,
hey,243.02,hey.,242.85,243.41
hey,246.57,,,
hey ,250.1,,,
on ,253.65,,,
 twentyfive,272.37,Twenty,272.56,273.38
trying,276.55,trying,275.8,276.94
hope ,280.76,hope,280.58,281.1
destination,285.02,destination.,284.24,286.1
