lyric_word,time,ref_word,start,end
 When,18.97,When,18.76,19.32
before ,20.21,"before,",19.64,20.48
 eye,25.35,eye.,24.92,25.58
angel,30.47,"angel,",30.1,31.42
cry ,35.6,cry.,35.13,36.07
feather,40.76,,,
world ,45.93,world.,45.2,45.88
special,51.13,"special,",50.68,52.1
special,56.36,special.,55.85,57.49
weirdo,66.79,weirdo.,66.49,67.71
here ,72.02,here?,71.82,73.06
belong ,77.25,belong,76.51,77.51
hurts ,82.48,"hurts,",82.44,83.1
control ,87.68,control.,86.93,88.15
body,92.92,body.,92.5,94.02
soul ,98.16,soul.,97.69,99.53
notice,103.41,notice.,103.06,103.08
around ,108.71,"around,",108.43,108.85
special,113.93,special.,113.41,115.11
special,119.18,special.,118.81,120.45
weirdo,130.36,weirdo.,129.24,131.16
here ,135.0,here?,134.94,135.92
belong ,140.29,belong,140.29,140.55
She,145.43,,,
door ,150.64,,,
She,155.84,,,
run,161.09,,,
run,176.27,,,
happy,186.71,"happy,",186.17,187.25
want,191.86,want.,191.24,192.3
special,197.02,special.,196.45,197.83
special,202.09,,,
weirdo,212.51,,,
here ,217.76,,,
belong ,222.94,,,
belong ,228.21,,,
