lyric_word,time,ref_word,start,end
you,34.27,"you,",34.08,34.68
feel,40.7,feel,40.5,41.02
you,44.98,"you,",44.83,45.31
feel,51.38,feel,51.31,51.77
 hey,55.67,Hey,56.14,56.48
light,59.93,,,
dont,66.36,Don't,66.67,67.31
  without,68.5,,,
fight,70.64,fight.,70.5,70.92
you,79.18,"you,",78.98,79.62
touch,85.59,touch,85.4,85.96
you,89.88,"you,",89.76,90.13
touch,96.29,touch,96.08,96.64
stone,104.83,stone?,104.91,105.87
open,111.23,Open,111.31,111.66
home,115.54,home.,115.28,115.64
 but,175.39,,,
only,176.45,,,
fantasy,177.53,,,
fantasy,178.09,,,
 the,182.6,The,182.47,182.79
high,183.94,"high,",183.89,184.47
you,185.01,you,185.03,185.33
can,185.54,can,185.33,185.85
see,186.07,see.,185.85,186.43
tried,191.41,"tried,",191.36,191.98
not,192.49,not,192.46,192.78
break,192.99,break,192.78,193.32
free,193.55,free.,193.32,193.86
into,198.92,into,199.0,199.5
brain,199.99,brain.,199.92,200.46
you,234.17,,,
help,240.62,,,
you,244.88,,,
help,251.31,,,
all,259.89,,,
together,266.25,,,
 divided,268.42,,,
fail,270.56,,,
